__quarterly__,y,ny,cpi,r,e,yw,rw,cpiw,tna,l,ln,bk,rwa,lp,a,le,car,bg,rbk,new_rl,rd,car_min,rrw_bkw,yw_tnd,yw_gap,rrw_tnd,py,re,rr_bkw,y_tnd,y_gap,rr_tnd,re_tnd,re_gap,riskw,ona,l_to_4ny,l_to_4ny_tnd,ln_to_l,ln_to_l_tnd,a_to_ln,a_to_ln_tnd,aa,bg_to_bk,bg_to_bk_tnd,roc_y,roc_ny,roc_cpi,roc_cpiw,roc_l,roc_py,roc_re,roc_y_tnd,roc_re_tnd,apct_y,apct_ny,apct_cpi,apct_cpiw,apct_l,apct_py,apct_re,apct_y_tnd,apct_re_tnd,x,prem_gap,fwy_bubble,,__eof__
1995Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.372894886866782,0.236666015347721,0.0128487448479091,0.049256355726619,NaN,0.223817270499812,0.014734626001552,0.221931389346169,NaN,NaN,0.036482514321843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.150963497520613,NaN,NaN,0.054290620598953,0.0652013753490321,1.14677551589405,1.04909355134806,0.0147346260015516,NaN,NaN,NaN,NaN,NaN,NaN,1.10393989140639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.5188946307033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1995Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.402864424851482,0.257767748118201,0.0144482165765697,0.054374167617875,NaN,0.243319531541631,0.016234478721122,0.241533269397079,NaN,NaN,0.0359103094857582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161331155454403,NaN,NaN,0.0560512968827441,0.066489424837966,1.1236320161098,1.04006754334522,0.0162344787211216,NaN,NaN,NaN,NaN,NaN,NaN,1.08916249652269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.7248242362519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1995Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.435795337965471,0.27911724026227,0.016324903512374,0.0587084783102751,NaN,0.262792336749896,0.017857900050564,0.261259340211706,NaN,NaN,0.0339246662058901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.174535997753765,NaN,NaN,0.0584876215350741,0.0679756567313841,1.09390539656348,1.02975279618789,0.0178579000505641,NaN,NaN,NaN,NaN,NaN,NaN,1.08282452828148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.477725904784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1995Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.456248201367298,0.299002763117153,0.018274714354167,0.0632551283246225,NaN,0.280728048762986,0.019452743409895,0.279550019707258,NaN,NaN,0.0329303575674217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17669818166004,NaN,NaN,0.0611188811890903,0.0696528910963316,1.06446224181115,1.01824993149858,0.0194527434098946,NaN,NaN,NaN,NaN,NaN,NaN,1.07124433745546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6904122218553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.485704912330647,0.320798614338258,0.0197544804249367,0.0668261312761774,NaN,0.301044133913321,0.020931281547754,0.299867332790504,NaN,NaN,0.0346329197132448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.185837579540143,NaN,NaN,0.0615790703014293,0.0715107853214552,1.05957135280216,1.00568095509995,0.0209312815477544,NaN,NaN,NaN,NaN,NaN,NaN,1.0728951498437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5040424705357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.509859353788542,0.339421176033929,0.0223456228359249,0.0712448447924466,NaN,0.317075553198004,0.022738552404086,0.316682623629843,NaN,NaN,0.0282352163323004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.193176730158699,NaN,NaN,0.0658344982980414,0.0735361521254324,1.01758418510176,0.992183276918096,0.0227385524040864,NaN,NaN,NaN,NaN,NaN,NaN,1.05805063009417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3215623984855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.538293871889786,0.354672478404863,0.0249935091849149,0.0771571929089181,NaN,0.329678969219948,0.02443423790201,0.330238240502853,NaN,NaN,0.0289197030667164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208055631386933,NaN,NaN,0.0704692658909511,0.0757124936552676,0.977623338973046,0.977912270345003,0.0244342379020096,NaN,NaN,NaN,NaN,NaN,NaN,1.04493326712594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2214016621098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.574380612143002,0.375482617081267,0.0268131597745411,0.0837793819345868,NaN,0.348669457306726,0.026012700190813,0.349469916890454,NaN,NaN,0.0325834243065541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.224910695252548,NaN,NaN,0.0714098564214967,0.0780207448400224,0.970146764109163,0.96303177574206,0.0260127001908125,NaN,NaN,NaN,NaN,NaN,NaN,1.05867424157069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6172801392192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.600404054884553,0.396583234486668,0.0289777380557565,0.0885785734890846,NaN,0.367605496430912,0.027744201982327,0.368839032504341,NaN,NaN,0.0342932481737643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.231565022380212,NaN,NaN,0.0730684898802263,0.0804400928661705,0.957431595556007,0.947705537160196,0.0277442019823269,NaN,NaN,NaN,NaN,NaN,NaN,1.05619599002857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4451734122219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.640103179669898,0.423211336297242,0.0306210619450726,0.0939665595504025,NaN,0.392590274352169,0.029483088849369,0.393728247447873,NaN,NaN,0.0353158754725392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.246374932222025,NaN,NaN,0.0723540683313973,0.0829475212907126,0.962836916049977,0.93209967031313,0.0294830888493694,NaN,NaN,NaN,NaN,NaN,NaN,1.06714379100025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.6856035055897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
